Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
147115,368546272,9.34051,-2.01571,0.520275,-9.10556,2.08177,-2.18163,2.889,1.0,19.4326,-11.8094,-9.27687,-12.333,15.0174,-0.749175,-2.47572,-1,10.0233
147115,14990913,5.2057,4.57242,-1.13886,2.21254,4.71212,0.453805,-0.244105,1.0,103.764,-18.4893,-8.89345,101.716,20.517,2.30409,-2.69326,1,27.9116
147115,482260690,4.41252,-0.974871,-2.00758,3.80651,2.23176,1.30366,-2.02285,-1.0,90.815,6.10354,15.5802,89.2601,16.7331,2.37598,1.19742,-1,14.013
147115,166685143,14.1255,-0.440379,-5.16944,-13.1382,5.18817,-1.65918,-1.65578,-1.0,52.9553,-13.3668,-13.5966,-49.4037,19.0667,-1.68054,-2.34767,1,6.74841
147115,482102034,47.7888,-14.0241,-13.2182,43.7307,19.2716,1.55792,-2.38577,-1.0,12.2436,3.08141,1.28393,11.7798,3.3382,1.9736,0.394792,-1,16.1342
147115,284221924,81.8964,-13.198,20.8082,-78.1015,24.6408,-1.87076,2.13603,1.0,16.5602,-1.01633,-2.77918,-16.2937,2.95919,-2.40716,-1.92138,1,16.0048
147115,465623178,13.0306,3.15376,3.63603,12.1091,4.8132,1.65309,0.856307,-1.0,36.5996,-22.377,23.6797,-16.6755,32.58,-0.491769,2.32792,-1,36.4229
147115,570470741,2.70321,0.0688176,2.5133,-0.99295,2.51424,-0.385325,1.54342,-1.0,86.3224,1.03364,-14.6058,85.0715,14.6424,2.46005,-1.50015,1,26.6254
147115,504501680,24.9558,-6.61742,-11.4139,21.1832,13.1934,1.25194,-2.09621,1.0,3.54039,0.87682,3.40213,-0.437091,3.5133,-0.124092,1.31856,1,16.8669
147115,154517313,28.5544,13.6174,14.7976,20.272,20.1098,0.887066,0.826905,1.0,5.70027,0.838972,-2.75259,4.92062,2.8776,1.30587,-1.27495,1,13.5885
147115,259159530,20.0278,-12.7915,-10.0689,-11.6665,16.2789,-0.666263,-2.47474,1.0,2.78017,-1.55874,2.19575,-0.691621,2.69277,-0.254101,2.18813,-1,9.97816
147115,389134820,2.89311,-0.19374,-1.12018,-2.6604,1.13681,-1.5862,-1.74206,1.0,97.9049,19.8292,-10.9875,-95.2442,22.6699,-2.14242,-0.505992,1,6.54141
147115,397654763,2.21166,1.01115,-1.96302,-0.124623,2.20814,-0.0564082,-1.09514,1.0,100.989,-10.8052,20.5061,98.2932,23.1787,2.15149,2.05575,-1,23.9492
147115,274564960,19.0049,10.6908,-9.41049,-12.5832,14.2425,-0.796549,-0.721792,-1.0,8.76695,5.16048,1.58515,-6.90769,5.39845,-1.06593,0.298022,1,8.88165
147115,524925622,100.479,1.3897,-17.7861,98.8824,17.8403,2.41366,-1.49282,-1.0,5.45321,-2.19721,3.85678,-3.16781,4.43875,-0.663832,2.08864,1,43.1931
